id,repo_id,release_line_id,prev_release_id,curr_release_id,is_first_adoption,is_first_adoption_line
1,450,2,7,6,1,1
2,450,2,6,5,0,0
3,450,2,5,4,0,0
4,450,2,4,3,0,0
5,450,2,3,2,0,0
15,1649,1,111,109,1,1
16,1649,1,109,108,0,0
17,1649,1,108,106,0,0
18,1649,1,106,105,0,0
19,1649,1,105,102,0,0
20,1649,1,102,101,0,0
21,1649,1,101,100,0,0
22,1649,1,100,98,0,0
23,1649,1,98,97,0,0
24,1649,1,97,94,0,0
25,1651,1,138,136,1,1
27,2403,1,159,158,1,1
28,2403,1,158,157,0,0
29,2403,1,157,156,0,0
30,2403,1,156,155,0,0
31,2403,1,155,154,0,0
32,2403,1,154,153,0,0
33,2403,1,153,152,0,0
34,2403,1,152,151,0,0
35,2403,1,151,150,0,0
36,2403,1,150,149,0,0
37,2403,1,149,148,0,0
38,2403,1,148,147,0,0
39,2403,1,147,146,0,0
40,2403,1,146,145,0,0
41,2403,1,145,144,0,0
42,2403,1,144,143,0,0
43,4803,1,273,272,1,1
44,5542,1,290,289,1,1
45,5542,1,289,288,0,0
46,5542,1,288,287,0,0
47,5542,1,287,286,0,0
48,5542,1,286,285,0,0
49,5542,1,285,283,0,0
50,5542,1,283,282,0,0
51,5542,1,282,281,0,0
52,5542,1,281,280,0,0
53,5542,1,280,279,0,0
54,5542,1,279,278,0,0
55,5542,1,278,277,0,0
56,5542,1,277,276,0,0
57,5542,1,276,275,0,0
82,6567,1,307,306,1,1
83,6567,1,306,305,0,0
84,6567,1,305,304,0,0
85,6567,1,304,303,0,0
86,6567,1,303,302,0,0
87,6567,1,302,301,0,0
88,6567,1,301,300,0,0
89,6567,1,300,299,0,0
90,6567,1,299,298,0,0
91,6567,1,298,297,0,0
92,6567,1,297,296,0,0
93,6567,1,296,295,0,0
94,6567,1,295,294,0,0
95,6567,1,294,293,0,0
96,6567,1,293,292,0,0
97,6567,1,292,291,0,0
98,6704,1,345,341,1,1
99,6704,1,341,340,0,0
100,6704,1,340,339,0,0
101,6704,1,339,338,0,0
102,6704,1,338,337,0,0
103,6704,1,337,336,0,0
104,7651,4,509,508,0,1
106,7653,4,552,551,1,1
107,7704,1,665,664,1,1
108,7704,1,664,663,0,0
109,7704,1,663,662,0,0
110,7704,1,662,660,0,0
111,7704,1,660,659,0,0
112,7704,1,659,658,0,0
113,7704,1,658,653,0,0
114,7704,1,653,646,0,0
115,7704,1,646,645,0,0
116,7704,1,645,644,0,0
117,7704,1,644,639,0,0
118,7704,1,639,632,0,0
119,7782,1,675,674,0,1
120,7782,1,674,672,0,0
124,7782,2,683,682,1,1
125,7782,2,682,681,0,0
126,7782,2,681,680,0,0
127,7782,2,680,679,0,0
128,7782,2,679,678,0,0
129,7782,4,677,676,0,1
130,7991,1,693,692,1,1
168,9673,1,744,743,1,1
169,9673,1,743,742,0,0
170,9673,1,742,741,0,0
171,9673,1,741,740,0,0
172,9673,1,740,739,0,0
173,9673,1,739,738,0,0
174,9673,1,738,737,0,0
175,9673,1,737,736,0,0
176,9673,1,736,735,0,0
177,9673,1,735,734,0,0
178,9673,1,734,733,0,0
179,9673,1,733,732,0,0
180,9673,1,732,731,0,0
181,9673,1,731,730,0,0
182,9673,1,730,729,0,0
183,9673,1,729,728,0,0
184,9673,1,728,727,0,0
185,9673,1,727,726,0,0
186,9673,1,726,725,0,0
187,9673,1,725,724,0,0
188,9673,1,724,723,0,0
189,9673,1,723,720,0,0
190,9673,1,720,719,0,0
191,9673,1,719,718,0,0
192,9673,1,718,717,0,0
193,9673,1,717,716,0,0
194,9673,1,716,715,0,0
195,9673,1,715,714,0,0
196,9673,1,714,713,0,0
197,9673,1,713,712,0,0
198,9673,1,712,711,0,0
199,9685,1,792,790,1,1
202,9731,1,820,819,1,1
203,9731,1,819,817,0,0
204,9731,1,817,816,0,0
205,9731,1,816,815,0,0
206,9731,1,815,814,0,0
207,9731,1,814,813,0,0
208,9731,1,813,812,0,0
209,9731,1,812,811,0,0
210,9731,1,811,810,0,0
211,9731,1,810,809,0,0
212,9731,1,809,808,0,0
213,9731,1,808,807,0,0
214,9731,1,807,806,0,0
215,9731,1,806,805,0,0
216,9731,1,805,804,0,0
217,9731,1,804,803,0,0
218,9731,1,803,802,0,0
