repo_id,release_line_id,release_id,file_path,dep_count,dep_names,dep_versions
450,2,2,requirements.txt,55,"[""appium-python-client"", ""attrs"", ""beautifulsoup4"", ""boto3"", ""colorama"", ""configobj"", ""datefinder"", ""deepdiff"", ""genson"", ""google-cloud-bigquery"", ""google-cloud-bigquery-storage"", ""google-cloud-storage"", ""html-diff"", ""idna"", ""image"", ""imap-tools"", ""imutils"", ""jsonpointer"", ""jsonschema"", ""lxml"", ""mitmproxy"", ""pandas"", ""pdf2image"", ""pillow"", ""pip"", ""premailer"", ""psutil"", ""pyautocad"", ""pyperclip"", ""pyrsistent"", ""pyscreenshot"", ""pyserial"", ""pytest"", ""python-dateutil"", ""python-dotenv"", ""pyttsx3"", ""pytz"", ""pyyaml"", ""rauth"", ""regex"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rich"", ""selenium"", ""tqdm"", ""tzlocal"", ""uiautomator"", ""urllib3"", ""webdriver-manager"", ""websocket-client"", ""wheel"", ""xmltodict"", ""xvfbwrapper"", ""yapf""]","{""appium-python-client"": """", ""attrs"": """", ""beautifulsoup4"": """", ""boto3"": """", ""colorama"": """", ""configobj"": """", ""datefinder"": """", ""deepdiff"": """", ""genson"": """", ""google-cloud-bigquery"": """", ""google-cloud-bigquery-storage"": """", ""google-cloud-storage"": """", ""html-diff"": """", ""idna"": """", ""image"": """", ""imap-tools"": """", ""imutils"": """", ""jsonpointer"": """", ""jsonschema"": """", ""lxml"": """", ""mitmproxy"": """", ""pandas"": """", ""pdf2image"": """", ""pillow"": """", ""pip"": """", ""premailer"": """", ""psutil"": """", ""pyautocad"": """", ""pyperclip"": """", ""pyrsistent"": """", ""pyscreenshot"": """", ""pyserial"": """", ""pytest"": ""==6.1.2"", ""python-dateutil"": """", ""python-dotenv"": """", ""pyttsx3"": """", ""pytz"": """", ""pyyaml"": """", ""rauth"": """", ""regex"": """", ""requests"": """", ""rfc3339-validator"": """", ""rfc3986-validator"": """", ""rich"": """", ""selenium"": """", ""tqdm"": """", ""tzlocal"": """", ""uiautomator"": """", ""urllib3"": """", ""webdriver-manager"": """", ""websocket-client"": ""==1.3.3"", ""wheel"": """", ""xmltodict"": """", ""xvfbwrapper"": """", ""yapf"": """"}"
450,2,3,requirements.txt,53,"[""appium-python-client"", ""attrs"", ""backports-datetime-fromisoformat"", ""beautifulsoup4"", ""boto3"", ""colorama"", ""configobj"", ""datefinder"", ""deepdiff"", ""google-cloud-bigquery"", ""google-cloud-bigquery-storage"", ""html-diff"", ""idna"", ""image"", ""imap-tools"", ""imutils"", ""jsonpointer"", ""jsonschema"", ""lxml"", ""pandas"", ""pdf2image"", ""pillow"", ""pip"", ""premailer"", ""psutil"", ""pyautocad"", ""pyperclip"", ""pyrsistent"", ""pyscreenshot"", ""pyserial"", ""pytest"", ""python-dateutil"", ""python-dotenv"", ""pyttsx3"", ""pytz"", ""pyyaml"", ""rauth"", ""regex"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rich"", ""selenium"", ""tqdm"", ""tzlocal"", ""uiautomator"", ""urllib3"", ""webdriver-manager"", ""websocket-client"", ""wheel"", ""xmltodict"", ""xvfbwrapper"", ""yapf""]","{""appium-python-client"": """", ""attrs"": """", ""backports-datetime-fromisoformat"": ""; python_version < '3.11'"", ""beautifulsoup4"": """", ""boto3"": """", ""colorama"": """", ""configobj"": """", ""datefinder"": """", ""deepdiff"": """", ""google-cloud-bigquery"": """", ""google-cloud-bigquery-storage"": """", ""html-diff"": """", ""idna"": """", ""image"": """", ""imap-tools"": """", ""imutils"": """", ""jsonpointer"": """", ""jsonschema"": """", ""lxml"": """", ""pandas"": """", ""pdf2image"": """", ""pillow"": """", ""pip"": """", ""premailer"": """", ""psutil"": """", ""pyautocad"": """", ""pyperclip"": """", ""pyrsistent"": """", ""pyscreenshot"": """", ""pyserial"": """", ""pytest"": ""==6.1.2"", ""python-dateutil"": """", ""python-dotenv"": """", ""pyttsx3"": """", ""pytz"": """", ""pyyaml"": """", ""rauth"": """", ""regex"": """", ""requests"": """", ""rfc3339-validator"": """", ""rfc3986-validator"": """", ""rich"": """", ""selenium"": """", ""tqdm"": """", ""tzlocal"": """", ""uiautomator"": """", ""urllib3"": """", ""webdriver-manager"": """", ""websocket-client"": ""==1.3.3"", ""wheel"": """", ""xmltodict"": """", ""xvfbwrapper"": """", ""yapf"": """"}"
450,2,4,requirements.txt,52,"[""appium-python-client"", ""attrs"", ""beautifulsoup4"", ""boto3"", ""colorama"", ""configobj"", ""datefinder"", ""deepdiff"", ""google-cloud-bigquery"", ""google-cloud-bigquery-storage"", ""html-diff"", ""idna"", ""image"", ""imap-tools"", ""imutils"", ""jsonpointer"", ""jsonschema"", ""lxml"", ""pandas"", ""pdf2image"", ""pillow"", ""pip"", ""premailer"", ""psutil"", ""pyautocad"", ""pyperclip"", ""pyrsistent"", ""pyscreenshot"", ""pyserial"", ""pytest"", ""python-dateutil"", ""python-dotenv"", ""pyttsx3"", ""pytz"", ""pyyaml"", ""rauth"", ""regex"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rich"", ""selenium"", ""tqdm"", ""tzlocal"", ""uiautomator"", ""urllib3"", ""webdriver-manager"", ""websocket-client"", ""wheel"", ""xmltodict"", ""xvfbwrapper"", ""yapf""]","{""appium-python-client"": """", ""attrs"": """", ""beautifulsoup4"": """", ""boto3"": """", ""colorama"": """", ""configobj"": """", ""datefinder"": """", ""deepdiff"": """", ""google-cloud-bigquery"": """", ""google-cloud-bigquery-storage"": """", ""html-diff"": """", ""idna"": """", ""image"": """", ""imap-tools"": """", ""imutils"": """", ""jsonpointer"": """", ""jsonschema"": """", ""lxml"": """", ""pandas"": """", ""pdf2image"": """", ""pillow"": """", ""pip"": """", ""premailer"": """", ""psutil"": """", ""pyautocad"": """", ""pyperclip"": """", ""pyrsistent"": """", ""pyscreenshot"": """", ""pyserial"": """", ""pytest"": ""==6.1.2"", ""python-dateutil"": """", ""python-dotenv"": """", ""pyttsx3"": """", ""pytz"": """", ""pyyaml"": """", ""rauth"": """", ""regex"": """", ""requests"": """", ""rfc3339-validator"": """", ""rfc3986-validator"": """", ""rich"": """", ""selenium"": """", ""tqdm"": """", ""tzlocal"": """", ""uiautomator"": """", ""urllib3"": """", ""webdriver-manager"": """", ""websocket-client"": ""==1.3.3"", ""wheel"": """", ""xmltodict"": """", ""xvfbwrapper"": """", ""yapf"": """"}"
450,2,5,requirements.txt,52,"[""appium-python-client"", ""attrs"", ""beautifulsoup4"", ""boto3"", ""colorama"", ""configobj"", ""datefinder"", ""deepdiff"", ""google-cloud-bigquery"", ""google-cloud-bigquery-storage"", ""html-diff"", ""idna"", ""image"", ""imap-tools"", ""imutils"", ""jsonpointer"", ""jsonschema"", ""lxml"", ""pandas"", ""pdf2image"", ""pillow"", ""pip"", ""premailer"", ""psutil"", ""pyautocad"", ""pyperclip"", ""pyrsistent"", ""pyscreenshot"", ""pyserial"", ""pytest"", ""python-dateutil"", ""python-dotenv"", ""pyttsx3"", ""pytz"", ""pyyaml"", ""rauth"", ""regex"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rich"", ""selenium"", ""tqdm"", ""tzlocal"", ""uiautomator"", ""urllib3"", ""webdriver-manager"", ""websocket-client"", ""wheel"", ""xmltodict"", ""xvfbwrapper"", ""yapf""]","{""appium-python-client"": """", ""attrs"": """", ""beautifulsoup4"": """", ""boto3"": """", ""colorama"": """", ""configobj"": """", ""datefinder"": """", ""deepdiff"": """", ""google-cloud-bigquery"": """", ""google-cloud-bigquery-storage"": """", ""html-diff"": """", ""idna"": """", ""image"": """", ""imap-tools"": """", ""imutils"": """", ""jsonpointer"": """", ""jsonschema"": """", ""lxml"": """", ""pandas"": """", ""pdf2image"": """", ""pillow"": """", ""pip"": """", ""premailer"": """", ""psutil"": """", ""pyautocad"": """", ""pyperclip"": """", ""pyrsistent"": """", ""pyscreenshot"": """", ""pyserial"": """", ""pytest"": ""==6.1.2"", ""python-dateutil"": """", ""python-dotenv"": """", ""pyttsx3"": """", ""pytz"": """", ""pyyaml"": """", ""rauth"": """", ""regex"": """", ""requests"": """", ""rfc3339-validator"": """", ""rfc3986-validator"": """", ""rich"": """", ""selenium"": """", ""tqdm"": """", ""tzlocal"": """", ""uiautomator"": """", ""urllib3"": """", ""webdriver-manager"": """", ""websocket-client"": ""==1.3.3"", ""wheel"": """", ""xmltodict"": """", ""xvfbwrapper"": """", ""yapf"": """"}"
450,2,6,requirements.txt,51,"[""appium-python-client"", ""attrs"", ""beautifulsoup4"", ""boto3"", ""colorama"", ""configobj"", ""datefinder"", ""deepdiff"", ""google-cloud-bigquery"", ""google-cloud-bigquery-storage"", ""html-diff"", ""idna"", ""image"", ""imap-tools"", ""imutils"", ""jsonpointer"", ""jsonschema"", ""lxml"", ""pandas"", ""pdf2image"", ""pillow"", ""pip"", ""premailer"", ""psutil"", ""pyautocad"", ""pyrsistent"", ""pyscreenshot"", ""pyserial"", ""pytest"", ""python-dateutil"", ""python-dotenv"", ""pyttsx3"", ""pytz"", ""pyyaml"", ""rauth"", ""regex"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rich"", ""selenium"", ""tqdm"", ""tzlocal"", ""uiautomator"", ""urllib3"", ""webdriver-manager"", ""websocket-client"", ""wheel"", ""xmltodict"", ""xvfbwrapper"", ""yapf""]","{""appium-python-client"": """", ""attrs"": """", ""beautifulsoup4"": """", ""boto3"": """", ""colorama"": """", ""configobj"": """", ""datefinder"": """", ""deepdiff"": """", ""google-cloud-bigquery"": """", ""google-cloud-bigquery-storage"": """", ""html-diff"": """", ""idna"": """", ""image"": """", ""imap-tools"": """", ""imutils"": """", ""jsonpointer"": """", ""jsonschema"": """", ""lxml"": """", ""pandas"": """", ""pdf2image"": """", ""pillow"": """", ""pip"": """", ""premailer"": """", ""psutil"": """", ""pyautocad"": """", ""pyrsistent"": """", ""pyscreenshot"": """", ""pyserial"": """", ""pytest"": ""==6.1.2"", ""python-dateutil"": """", ""python-dotenv"": """", ""pyttsx3"": """", ""pytz"": """", ""pyyaml"": """", ""rauth"": """", ""regex"": """", ""requests"": """", ""rfc3339-validator"": """", ""rfc3986-validator"": """", ""rich"": """", ""selenium"": """", ""tqdm"": """", ""tzlocal"": """", ""uiautomator"": """", ""urllib3"": """", ""webdriver-manager"": """", ""websocket-client"": ""==1.3.3"", ""wheel"": """", ""xmltodict"": """", ""xvfbwrapper"": """", ""yapf"": """"}"
450,2,7,requirements.txt,50,"[""appium-python-client"", ""attrs"", ""beautifulsoup4"", ""boto3"", ""colorama"", ""datefinder"", ""deepdiff"", ""google-cloud-bigquery"", ""google-cloud-bigquery-storage"", ""html-diff"", ""idna"", ""image"", ""imap-tools"", ""imutils"", ""jsonpointer"", ""jsonschema"", ""lxml"", ""pdf2image"", ""pillow"", ""pip"", ""premailer"", ""protobuf"", ""psutil"", ""pyautocad"", ""pyrsistent"", ""pyscreenshot"", ""pyserial"", ""pytest"", ""python-dateutil"", ""python-dotenv"", ""pyttsx3"", ""pytz"", ""pyyaml"", ""rauth"", ""regex"", ""requests"", ""rfc3339-validator"", ""rfc3986-validator"", ""rich"", ""selenium"", ""tqdm"", ""tzlocal"", ""uiautomator"", ""urllib3"", ""webdriver-manager"", ""websocket-client"", ""wheel"", ""xmltodict"", ""xvfbwrapper"", ""yapf""]","{""appium-python-client"": """", ""attrs"": """", ""beautifulsoup4"": """", ""boto3"": """", ""colorama"": """", ""datefinder"": """", ""deepdiff"": """", ""google-cloud-bigquery"": """", ""google-cloud-bigquery-storage"": """", ""html-diff"": """", ""idna"": """", ""image"": """", ""imap-tools"": """", ""imutils"": """", ""jsonpointer"": """", ""jsonschema"": """", ""lxml"": """", ""pdf2image"": """", ""pillow"": """", ""pip"": """", ""premailer"": """", ""protobuf"": """", ""psutil"": """", ""pyautocad"": """", ""pyrsistent"": """", ""pyscreenshot"": """", ""pyserial"": """", ""pytest"": ""==6.1.2"", ""python-dateutil"": """", ""python-dotenv"": """", ""pyttsx3"": """", ""pytz"": """", ""pyyaml"": """", ""rauth"": """", ""regex"": """", ""requests"": """", ""rfc3339-validator"": """", ""rfc3986-validator"": """", ""rich"": """", ""selenium"": """", ""tqdm"": """", ""tzlocal"": """", ""uiautomator"": """", ""urllib3"": """", ""webdriver-manager"": """", ""websocket-client"": ""==1.3.3"", ""wheel"": """", ""xmltodict"": """", ""xvfbwrapper"": """", ""yapf"": """"}"
1649,1,94,pyproject.toml,0,[],{}
1649,1,94,requirements.txt,14,"[""deprecated"", ""numpy"", ""opencv-python-headless"", ""pandas"", ""pillow"", ""prettytable"", ""psutil"", ""py-cpuinfo"", ""pycocotools"", ""pycocotools-windows"", ""pyyaml"", ""requests"", ""schema"", ""scikit-learn""]","{""deprecated"": "">= 1.2.13"", ""numpy"": ""< 2.0"", ""opencv-python-headless"": """", ""pandas"": """", ""pillow"": """", ""prettytable"": """", ""psutil"": """", ""py-cpuinfo"": """", ""pycocotools"": ""; sys_platform != 'win32' or python_version > '3.8'"", ""pycocotools-windows"": ""; sys_platform == 'win32' and python_version <= '3.8'"", ""pyyaml"": """", ""requests"": """", ""schema"": """", ""scikit-learn"": """"}"
1649,1,97,pyproject.toml,0,[],{}
1649,1,97,requirements.txt,14,"[""deprecated"", ""numpy"", ""opencv-python-headless"", ""pandas"", ""pillow"", ""prettytable"", ""psutil"", ""py-cpuinfo"", ""pycocotools"", ""pycocotools-windows"", ""pyyaml"", ""requests"", ""schema"", ""scikit-learn""]","{""deprecated"": "">= 1.2.13"", ""numpy"": ""< 2.0"", ""opencv-python-headless"": """", ""pandas"": """", ""pillow"": """", ""prettytable"": """", ""psutil"": """", ""py-cpuinfo"": """", ""pycocotools"": ""; sys_platform != 'win32' or python_version > '3.8'"", ""pycocotools-windows"": ""; sys_platform == 'win32' and python_version <= '3.8'"", ""pyyaml"": """", ""requests"": """", ""schema"": """", ""scikit-learn"": """"}"
1649,1,98,neural_coder/extensions/neural_compressor_ext_lab/pyproject.toml,0,[],{}
1649,1,98,neural_coder/extensions/neural_compressor_ext_lab_alibaba/pyproject.toml,0,[],{}
1649,1,98,neural_insights/requirements.txt,9,"[""cryptography"", ""flask"", ""flask-cors"", ""flask-socketio"", ""gevent"", ""gevent-websocket"", ""neural-compressor"", ""pywin32"", ""torchinfo""]","{""cryptography"": """", ""flask"": """", ""flask-cors"": """", ""flask-socketio"": """", ""gevent"": """", ""gevent-websocket"": """", ""neural-compressor"": "">=2.2"", ""pywin32"": ""; sys_platform != 'linux'"", ""torchinfo"": """"}"
1649,1,98,neural_solution/requirements.txt,8,"[""fastapi"", ""grpcio"", ""mpi4py"", ""neural-compressor"", ""protobuf"", ""pydantic"", ""uvicorn"", ""watchdog""]","{""fastapi"": """", ""grpcio"": """", ""mpi4py"": """", ""neural-compressor"": "">=2.2"", ""protobuf"": """", ""pydantic"": """", ""uvicorn"": """", ""watchdog"": """"}"
1649,1,98,pyproject.toml,0,[],{}
1649,1,98,requirements.txt,14,"[""deprecated"", ""numpy"", ""opencv-python-headless"", ""pandas"", ""pillow"", ""prettytable"", ""psutil"", ""py-cpuinfo"", ""pycocotools"", ""pycocotools-windows"", ""pyyaml"", ""requests"", ""schema"", ""scikit-learn""]","{""deprecated"": "">= 1.2.13"", ""numpy"": ""< 2.0"", ""opencv-python-headless"": """", ""pandas"": """", ""pillow"": """", ""prettytable"": """", ""psutil"": """", ""py-cpuinfo"": """", ""pycocotools"": ""; sys_platform != 'win32' or python_version > '3.8'"", ""pycocotools-windows"": ""; sys_platform == 'win32' and python_version <= '3.8'"", ""pyyaml"": """", ""requests"": """", ""schema"": """", ""scikit-learn"": """"}"
1649,1,100,neural_coder/extensions/neural_compressor_ext_lab/pyproject.toml,0,[],{}
1649,1,100,neural_coder/extensions/neural_compressor_ext_lab_alibaba/pyproject.toml,0,[],{}
1649,1,100,neural_insights/requirements.txt,9,"[""cryptography"", ""flask"", ""flask-cors"", ""flask-socketio"", ""gevent"", ""gevent-websocket"", ""neural-compressor"", ""pywin32"", ""torchinfo""]","{""cryptography"": """", ""flask"": """", ""flask-cors"": """", ""flask-socketio"": """", ""gevent"": """", ""gevent-websocket"": """", ""neural-compressor"": "">=2.2"", ""pywin32"": ""; sys_platform != 'linux'"", ""torchinfo"": """"}"
1649,1,100,neural_solution/requirements.txt,8,"[""fastapi"", ""grpcio"", ""mpi4py"", ""neural-compressor"", ""protobuf"", ""pydantic"", ""uvicorn"", ""watchdog""]","{""fastapi"": """", ""grpcio"": """", ""mpi4py"": """", ""neural-compressor"": "">=2.2"", ""protobuf"": """", ""pydantic"": """", ""uvicorn"": """", ""watchdog"": """"}"
1649,1,100,pyproject.toml,0,[],{}
1649,1,100,requirements.txt,14,"[""deprecated"", ""numpy"", ""opencv-python-headless"", ""pandas"", ""pillow"", ""prettytable"", ""psutil"", ""py-cpuinfo"", ""pycocotools"", ""pycocotools-windows"", ""pyyaml"", ""requests"", ""schema"", ""scikit-learn""]","{""deprecated"": "">= 1.2.13"", ""numpy"": ""< 2.0"", ""opencv-python-headless"": """", ""pandas"": """", ""pillow"": """", ""prettytable"": """", ""psutil"": """", ""py-cpuinfo"": """", ""pycocotools"": ""; sys_platform != 'win32' or python_version > '3.8'"", ""pycocotools-windows"": ""; sys_platform == 'win32' and python_version <= '3.8'"", ""pyyaml"": """", ""requests"": """", ""schema"": """", ""scikit-learn"": """"}"
1649,1,101,neural_coder/extensions/neural_compressor_ext_lab/pyproject.toml,0,[],{}
1649,1,101,neural_coder/extensions/neural_compressor_ext_lab_alibaba/pyproject.toml,0,[],{}
1649,1,101,neural_insights/requirements.txt,9,"[""cryptography"", ""flask"", ""flask-cors"", ""flask-socketio"", ""gevent"", ""gevent-websocket"", ""neural-compressor"", ""pywin32"", ""torchinfo""]","{""cryptography"": """", ""flask"": """", ""flask-cors"": """", ""flask-socketio"": """", ""gevent"": """", ""gevent-websocket"": """", ""neural-compressor"": "">=2.2"", ""pywin32"": ""; sys_platform != 'linux'"", ""torchinfo"": """"}"
1649,1,101,neural_solution/requirements.txt,8,"[""fastapi"", ""grpcio"", ""mpi4py"", ""neural-compressor"", ""protobuf"", ""pydantic"", ""uvicorn"", ""watchdog""]","{""fastapi"": """", ""grpcio"": """", ""mpi4py"": """", ""neural-compressor"": "">=2.2"", ""protobuf"": """", ""pydantic"": """", ""uvicorn"": """", ""watchdog"": """"}"
1649,1,101,pyproject.toml,0,[],{}
1649,1,101,requirements.txt,14,"[""deprecated"", ""numpy"", ""opencv-python-headless"", ""pandas"", ""pillow"", ""prettytable"", ""psutil"", ""py-cpuinfo"", ""pycocotools"", ""pycocotools-windows"", ""pyyaml"", ""requests"", ""schema"", ""scikit-learn""]","{""deprecated"": "">= 1.2.13"", ""numpy"": """", ""opencv-python-headless"": """", ""pandas"": """", ""pillow"": """", ""prettytable"": """", ""psutil"": """", ""py-cpuinfo"": """", ""pycocotools"": ""; sys_platform != 'win32' or python_version > '3.8'"", ""pycocotools-windows"": ""; sys_platform == 'win32' and python_version <= '3.8'"", ""pyyaml"": """", ""requests"": """", ""schema"": """", ""scikit-learn"": """"}"
1649,1,102,neural_coder/extensions/neural_compressor_ext_lab/pyproject.toml,0,[],{}
1649,1,102,neural_coder/extensions/neural_compressor_ext_lab_alibaba/pyproject.toml,0,[],{}
