source,target
aenum,enum
aiohttp,gcloud-aio-core
aiohttp,httpx
aiohttp,requests
aioprometheus,prometheus-client
aioredis,asyncio-redis
aioredis,redis
alembic,migrate
anyascii,unidecode
appdirs,platformdirs
argparse,click
argparse,configargparse
argparse,docopt
astropy,pyfits
asyncio,trollius
attr,attrs
attrs,characteristic
attrs,dataclasses
auto-gptq,gptqmodel
awscli,s3cmd
bcrypt,passlib
bcrypt,py-bcrypt
beartype,typeguard
beautifulsoup,bs4
beautifulsoup4,pyquery
bleach,html5lib
bm25s,pyserini
boto,botocore
bottle,flask
bunch,munch
cchardet,chardet
celery,huey
celery,rq
cheetah,cheetah3
cheetah,jinja2
cheetah3,jinja2
click,docopt
cloud-sptheme,sphinx-rtd-theme
cloudpickle,dill
cloudscraper,tls-client
comet-ml,tensorboard
commentjson,pyjson5
configobj,configparser
confluent-kafka,kafka
confluent-kafka,kafka-python
cryptography,m2crypto
cryptography,pycrypto
cryptography,pycryptodome
cryptography,pyopenssl
csv,unicodecsv
cytoolz,toolz
dataproperty,typepy
defusedxml,lxml
demjson,demjson3
django,utils
django-registration,django-registration-redux
django-rest-swagger,drf-spectacular
django-rest-swagger,drf-yasg
docopt,docopt-ng
dotenv,python-dotenv
drf-spectacular,drf-yasg
ed25519,pynacl
edx-sphinx-theme,sphinx-rtd-theme
eformer,fjformer
en-core-web-lg,en-core-web-sm
ethereum,ethereum-utils
eventlet,gevent
fabric,paramiko
fabric3,invoke
fabric3,paramiko
fastapi,flask
fasteners,lockfile
faster-whisper,mobius-faster-whisper
flake8,ruff
flake8-annotations,ruff
flake8-docstrings,ruff
flask,quart
flask,tornado
flask,uvicorn
flask,webapp2
flask-restful,flask-restplus
flask-restplus,flask-restx
flask-security,flask-security-too
fonttools,ufolib
fr-core-news-lg,fr-core-news-sm
fs,fsspec
furo,sphinx-rtd-theme
fuzzywuzzy,rapidfuzz
gcloud,google
google-ai-generativelanguage,google-generativeai
google-cloud-aiplatform,google-genai
google-genai,google-generativeai
goundingdino,groundingdino
gpiozero,rpi.gpio
grain,grain-nightly
gunicorn,uwsgi
gunicorn,waitress
guzzle-sphinx-theme,sphinx-rtd-theme
h5py,tables
hf-kernels,kernels
httplib2,requests
hubstorage,scrapinghub
inquirerpy,questionary
ipaddr,ipaddress
ipaddr,netaddr
ipaddr,py2-ipaddress
ipaddress,netaddr
jaxtyping,torchtyping
jsonpath-rw,jsonpath-rw-ext
jsontableschema,tableschema
jwt,pyjwt
keras,torch
kfserving,kserve
lark,lark-parser
ldap3,python-ldap
leveldb,plyvel
lightning,pytorch-lightning
lightning-bolts,lightning-flash
logbook,loguru
logger,logging
magic,python-magic
matplolib-scalebar,matplotlib-scalebar
mechanize,requests
model,models
msgpack,u-msgpack-python
msgpack,umsgpack
multiprocess,multiprocessing
mysql-python,mysqlclient
mysql-python,pymysql
mysqlclient,psycopg2
napalm,napalm-base
netaddr,py2-ipaddress
neutron,neutron-lib
nltk,ntlk
node-semver,semantic-version
numpy,pandas
nvidia-ml-py,pynvml
nvidia-ml-py3,pynvml
oauth2,oauthlib
oauthlib,requests-oauth2
onnxruntime,openvino-dev
opencv-python,opencv-python-headless
openpyxl,xlrd
openpyxl,xlsxwriter
openstackclient,osc-lib
openvino,openvino-dev
oyaml,pyyaml
pathlib,unipath
pcapy,pypcap
pdf2image,pymupdf4llm
pdfplumber,pypdf
pendulum,pytz
pep517,pyproject-hooks
pep8,pycodestyle
pep8-naming,ruff
pgserver,pixeltable-pgserver
pil,pillow
pillow,torchvision
pinecone,pinecone-client
prettytable,tabulate
progressbar,tqdm
prometheus-eval,promethues-eval
psycopg,psycopg2-binary
psycopg2,psycopg2-binary
py-stringcompare,stringcompare
py-stringmatching,stringcompare
pyandoc,pypandoc
pycrypto,pycryptodome
pycryptodome,pycryptodomex
pycurl,requests
pydata-sphinx-theme,sphinx-rtd-theme
pydot,pydotplus
pydot2,pydotplus
pyinotify,watchdog
pymemcache,python3-memcached
pymilvus,pymilvus-orm
pynput,pyuserinput
pypdf,pypdf2
pyqt5,pyside2
pyqt5,pyside6
pyside2,qtpy
pytest-rerunfailures,pytest-retry
python-slugify,slugify
python-social-auth,social-auth-app-django
pytorch-pretrained-bert,pytorch-transformers
pytorch-pretrained-bert,transformers
pytorch-transformers,transformers
pytube,yt-dlp
pyyaml,ruamel.yaml
rapidjson,ujson
raven,sentry-sdk
redis,valkey
requests,requests-oauth2
requests,restkit
requests,urllib3
requests,wget
requests-oauth2,requests-oauthlib
retrying,tenacity
scapy,scapy-python3
scikit-learn,sklearn
simplejson,ujson
sklearn,torch
slack-sdk,slackclient
smbus-cffi,smbus2
suds,zeep
suds-py3,zeep
table-logger,tabulate
tensorboard,tensorboardx
tensorflow,tensorflow-cpu
tensorflow,tf-nightly-cpu
tensorflow,torch
tensorflow-dataset,tensorflow-datasets
tensorflow-text,tensorflow-text-nightly
textract,textract-py3
toml,tomli
toml,tomlkit
tornado,websocket-client
tweepy,twitter
typer,typer-slim
umap,umap-learn
urllib,urllib3
webob,werkzeug
